18
35,0,I,2,0,2,2,X,0
54,1,B,2,0,2,2,X,0
5,2,E,2,0,2,3,X,0
13,3,M,3,0,3,3,X,0
24,2,E,3,2,5,3,X,2
23,1,B,3,2,5,4,X,1
33,4,D,2,0,2,4,X,0
43,5,G,2,0,2,4,X,0
53,6,A,3,0,3,4,X,0
76,0,I,3,2,5,4,X,1
17,4,D,5,2,7,5,X,2
45,2,E,4,5,9,5,X,4
92,7,C,3,0,3,5,X,0
67,1,B,4,5,9,6,X,3
88,4,D,5,7,12,6,X,5
12,8,J,4,0,4,7,X,0
15,1,B,6,9,15,7,X,6
16,4,D,6,12,18,7,X,6
70,1,B,5,15,20,7,X,5
71,6,A,2,3,5,7,X,0
4,6,A,3,5,8,8,X,0
40,2,E,2,9,11,8,X,2
65,4,D,5,18,23,8,X,5
66,0,I,2,5,7,8,X,0
30,1,B,5,20,25,9,X,5
61,7,C,6,3,9,9,X,0
87,4,D,4,23,27,9,X,4
91,2,E,3,11,14,9,X,3
99,9,F,2,0,2,9,X,0
2,1,B,6,25,31,10,X,6
8,2,E,5,14,19,10,X,5
21,9,F,6,2,8,10,X,0
29,2,E,2,19,21,10,X,2
72,10,L,6,0,6,10,X,0
22,2,E,6,21,27,11,X,6
41,1,B,2,31,33,11,X,2
55,1,B,5,33,38,11,X,5
56,9,F,3,8,11,11,X,0
1,2,E,2,27,29,12,X,2
20,6,A,3,8,11,12,X,0
25,6,A,4,11,15,12,X,3
26,0,I,2,7,9,12,X,0
51,1,B,3,38,41,12,X,3
80,7,C,3,9,12,12,X,0
3,1,B,5,41,46,13,X,5
9,7,C,4,12,16,13,X,3
78,9,F,4,11,15,13,X,2
32,2,E,3,29,32,14,X,3
64,7,C,3,16,19,14,X,3
68,4,D,6,27,33,14,X,6
47,8,J,4,4,8,15,X,0
50,4,D,5,33,38,15,X,5
81,0,I,5,9,14,15,X,0
6,8,J,3,8,11,16,X,0
7,4,D,5,38,43,16,X,5
34,2,E,2,32,34,16,X,2
58,1,B,4,46,50,16,X,4
62,11,K,5,0,5,16,X,0
73,7,C,4,19,23,16,X,4
90,1,B,2,50,52,16,X,2
31,2,E,5,34,39,17,X,5
36,2,E,5,39,44,17,X,5
49,4,D,2,43,45,17,X,2
85,4,D,2,45,47,17,X,2
89,4,D,3,47,50,17,X,3
11,3,M,6,3,9,18,X,0
75,1,B,4,52,56,18,X,4
19,2,E,3,44,47,19,X,3
27,4,D,6,50,56,19,X,6
52,5,G,6,2,8,19,X,0
63,6,A,6,15,21,19,X,2
10,9,F,3,15,18,20,X,0
37,10,L,4,6,10,20,X,0
46,2,E,6,47,53,20,X,6
95,0,I,5,14,19,20,X,0
0,9,F,6,18,24,21,X,3
57,6,A,5,21,26,21,X,5
82,1,B,3,56,59,21,X,3
96,4,D,3,56,59,21,X,3
97,3,M,5,9,14,21,X,0
48,9,F,2,24,26,22,X,2
60,1,B,6,59,65,22,X,6
77,7,C,2,23,25,22,X,2
79,4,D,6,59,65,22,X,6
94,1,B,6,65,71,22,X,6
28,4,D,3,65,68,23,X,3
42,8,J,6,11,17,23,X,0
69,6,A,3,26,29,23,X,3
84,11,K,5,5,10,23,X,0
98,12,H,2,0,2,23,X,0
38,3,M,5,14,19,24,X,0
59,9,F,3,26,29,24,X,3
74,1,B,4,71,75,24,X,4
86,6,A,3,29,32,24,X,3
14,6,A,4,32,36,25,X,4
18,8,J,6,17,23,25,X,0
39,2,E,5,53,58,25,X,5
44,4,D,3,68,71,25,X,3
83,1,B,5,75,80,25,X,5
93,3,M,4,19,23,25,X,0
